affinity,SiO2_wt_percent,TiO2_wt_percent,Al2O3_wt_percent,Fe2O3_wt_percent,FeO_wt_percent,CaO_wt_percent,MgO_wt_percent,MnO_wt_percent,K2O_wt_percent,Na2O_wt_percent,P2O5(wt%),La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Sc_ppm,V_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Ga_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Sn_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm,143Nd/144Nd,87Sr/86Sr,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb
MORB,48.24,3.53,10.69,19.33,NA,8.38,5.44,0.3,0.53,2.79,0.39,15.2,44.8,NA,30.7,9.9,3.02,12.5,2.09,NA,NA,NA,1.22,7.8,1.08,36,400,171,42,147,NA,NA,NA,10,133,65,280,19,NA,NA,21,NA,NA,NA,NA,NA,NA,0.70254,NA,NA,NA
MORB,48.64,1.41,14.98,2.08,6.84,11.67,10.6,0.16,0.27,2.22,0.23,12.4,27.1,NA,12.6,3.19,1.18,NA,0.6,NA,0.8,NA,NA,2.22,0.36,36,235,560,42,225,60,NA,15,NA,185,24,95,NA,NA,NA,105,1.9,1.4,NA,2,NA,NA,NA,NA,NA,NA
MORB,48.72,1.62,13.57,12.71,NA,12.12,8.87,0.21,0.19,2.26,0.14,4.6,13,NA,9.9,3.7,1.3,4.6,0.79,NA,NA,NA,0.54,3.1,0.43,NA,NA,278,42,78,NA,NA,NA,5,122,26,100,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70254,NA,NA,NA
MORB,48.9,1.08,16,NA,NA,11,9.54,0.16,0.14,2.21,NA,5.06,11.9,NA,8.26,2.5,0.96,3.58,0.64,4.52,0.93,3.07,0.46,3.01,0.43,28,190,560,57,239,64,NA,NA,NA,NA,28,58,7.9,NA,NA,46,1.71,NA,NA,0.45,0.2,0.513174,0.70296,NA,NA,NA
MORB,49,1.14,15.8,NA,NA,11.98,8.95,0.15,0.09,2.35,0.1,2.07,NA,NA,6.64,2.49,1.03,NA,0.597,NA,NA,NA,NA,2.32,NA,NA,214,NA,NA,NA,NA,NA,NA,0.656,93.5,27.5,71,1.75,NA,NA,29.8,1.83,0.105,NA,0.099,NA,0.513155,0.702405,18.266,15.482,37.72
MORB,49,0.88,18.56,NA,NA,13.18,7.14,0.12,0.09,2.51,0.08,2.05,NA,NA,5.65,1.97,0.85,NA,0.467,NA,NA,NA,NA,1.73,NA,NA,180,NA,NA,NA,NA,NA,NA,0.633,132.8,21,62,1.6,NA,NA,7.9,1.57,0.117,NA,0.104,NA,0.513154,0.702429,18.405,15.498,37.911
MORB,49,1.61,14.23,NA,NA,11.91,6.95,0.19,0.17,2.96,0.15,5.2,16.8,NA,11.3,3.55,1.33,NA,0.69,NA,NA,NA,NA,3.31,0.48,48.2,309,137,62.1,62,NA,93,18,1.7,153,30.3,103,5.6,NA,NA,NA,2.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA
MORB,49.1,1.78,15.1,NA,NA,10.9,7.45,0.17,0.14,2.92,0.17,3.84,NA,NA,11.98,4.11,1.63,NA,0.95,NA,NA,NA,NA,3.73,NA,NA,291,NA,NA,NA,NA,NA,NA,0.482,129.6,35.6,123,2.66,NA,NA,NA,3.17,0.169,NA,0.141,NA,0.51315,0.702372,18.208,15.48,37.668
MORB,49.11,1.75,13.44,12.27,NA,11.29,8.95,0.2,0.43,2.23,0.2,11.9,31,NA,18.6,4.5,1.46,5.2,0.88,NA,NA,NA,0.59,3.5,0.48,38,283,393,42,136,NA,NA,NA,9,155,26,137,20,NA,NA,102,NA,NA,NA,NA,NA,NA,0.70252,NA,NA,NA
MORB,49.27,1.63,15.47,NA,NA,11.42,8.06,0.18,0.09,3,0.17,4,NA,NA,11.53,3.77,1.39,5.55,NA,6.43,NA,NA,NA,4.23,NA,35.3,330,255,36,109,NA,78,NA,2.68,149,45,103,NA,NA,0.02,5,NA,0.17,NA,0.07,0.77,NA,0.702439,NA,NA,NA
MORB,49.3,1.68,14.4,11.5,9.11,11.6,7.56,0.193,0.147,2.81,0.16,4.06,12.32,2.14,11.31,3.92,1.34,5.23,1.03,6.31,1.34,3.77,0.58,3.67,0.57,44.8,322,241,45,75,64,106,NA,NA,122,37,100,NA,NA,NA,10.91,3.07,0.22,NA,0.1713,0.06889,0.513131,NA,18.29,15.464,37.678
MORB,49.36,1.44,15.23,NA,NA,11.75,8.09,0.16,0.16,2.57,0.13,3.26,NA,NA,9.96,3.74,1.33,NA,0.772,NA,NA,NA,NA,2.95,NA,NA,276,NA,NA,NA,NA,NA,NA,1.18,124.4,33.1,96,2.27,NA,NA,NA,2.6,0.15,NA,0.109,NA,0.513147,0.702378,18.256,15.515,37.8
MORB,49.4,1.06,15.5,NA,NA,12.33,9.2,0.14,0.06,2.28,0.09,1.81,NA,NA,6,2.22,0.96,NA,0.557,NA,NA,NA,NA,2.3,NA,NA,231,NA,NA,NA,NA,NA,NA,0.258,96.7,25.1,68,1.26,NA,NA,NA,1.59,0.077,NA,0.081,NA,0.513155,0.702373,18.327,15.535,37.838
MORB,49.43,1.21,16.32,1.29,7.9,11.6,8.85,0.14,0.27,2.25,0.11,6.4,NA,NA,NA,2.9,0.9,NA,0.7,NA,NA,NA,NA,2.9,0.39,33,370,919,40,168,110,76,NA,4.9,108,23,66,8,NA,NA,59,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
MORB,49.44,1.85,14.74,12.74,NA,11.66,7.33,0.2,0.13,2.89,0.18,4.23,13.27,2.29,12.57,4.28,1.45,5.79,1.12,6.98,1.56,4.26,0.57,3.49,0.56,43.9,349,167,43.2,50,64,117,NA,NA,125,39.6,113,2.94,NA,NA,10.1,2.75,0.19,NA,NA,NA,NA,NA,18.29,15.486,37.734
MORB,49.46,2.1,13.55,NA,NA,10.53,6.75,0.23,0.18,2.53,0.2,5.7,20.6,NA,14.4,5.14,1.58,NA,1.07,NA,NA,NA,NA,5.04,0.73,44,382,151,66,81,NA,126,21,2.2,98,46.4,143,6.8,NA,NA,NA,3.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA
MORB,49.48,1.39,16.72,1.16,7.58,11.14,8.2,0.19,0.24,2.66,0.12,6.2,NA,2.7,20,6.6,1.9,7.1,1.47,NA,1.8,NA,0.76,4.5,NA,44,280,320,34,140,86,NA,17,NA,160,47,88,NA,NA,NA,19,NA,NA,1.15,NA,NA,NA,NA,17.824,15.54,37.52
MORB,49.5,1.22,16.2,NA,NA,12.1,8.2,NA,0.19,2.57,NA,4.66,12.33,NA,9.49,3.1,1.11,3.8,NA,4.98,NA,3.04,NA,2.89,NA,NA,NA,NA,NA,163,NA,NA,NA,3.88,135,NA,80,NA,NA,0.05,45.7,2.7,NA,0.462,0.454,0.152,NA,NA,18.404,15.505,37.879
MORB,49.5,0.82,16.1,8.3,NA,12.1,9.39,0.14,0.05,2.28,NA,0.753,3.05,NA,4.02,1.67,0.68,2.56,NA,3.18,NA,2,NA,1.86,NA,29.4,197,368,57.8,275,59.9,68.8,NA,0.11,57,22.3,41.5,NA,NA,NA,1.9,NA,NA,NA,NA,NA,0.513059,0.703135,17.334,15.46,37.36
MORB,49.57,0.73,16.66,1.45,7,13.1,8.53,0.15,0.09,1.94,0.07,1.98,5.26,NA,4.15,1.46,0.6,2.21,NA,2.73,NA,1.79,NA,1.7,0.253,43,212,459,NA,122,NA,NA,NA,1.5,84,20,37,3,NA,NA,19.8,NA,NA,NA,NA,NA,NA,0.70297,NA,NA,NA
MORB,49.64,1.19,14.82,NA,NA,12.13,7.76,0.18,0.04,2.71,0.08,2.3,8.2,NA,7.4,2.5,1.03,3.8,NA,4.8,NA,3.2,NA,2.9,NA,45,273,260,NA,41,NA,NA,NA,NA,96,31,72,NA,NA,NA,15,NA,NA,NA,NA,NA,0.513205,0.7027,18.442,15.509,38.62
MORB,49.68,1.57,15.44,3.2,7.44,10.8,8.27,0.19,0.29,3.27,0.15,4.16,13.1,NA,10.8,3.6,1.35,4.93,NA,5.81,NA,3.67,NA,3.42,NA,43,289,303,42,115,NA,NA,NA,1.1,145,35,112,4,NA,NA,17.1,NA,NA,NA,NA,NA,NA,0.70267,NA,NA,NA
MORB,49.7,1.16,15.5,NA,NA,12.15,8.57,0.15,0.09,2.6,0.1,2.3,NA,NA,7.1,2.54,1.07,NA,0.588,NA,NA,NA,NA,2.33,NA,NA,246,NA,NA,NA,NA,NA,NA,0.459,114.7,27.5,76,1.58,NA,NA,NA,2.04,0.101,NA,0.088,NA,0.513174,0.702413,18.4,15.491,37.824
MORB,49.74,1.53,16.52,2.06,7.19,11.69,7.41,0.16,0.21,2.7,0.06,3.4,5.8,1.9,9,4.4,1.5,6.8,1.3,5,1.4,4.8,0.62,3,0.57,NA,225,285,70,120,105,145,27,1.53,115,NA,105,NA,12,NA,9,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
MORB,49.8,1.83,13.99,12.8,NA,10.44,6.62,0.22,0.21,3,0.19,10.4,NA,NA,15.93,4.81,1.62,NA,1,NA,NA,NA,NA,NA,NA,37.5,350,150,46,66,NA,98,NA,3.17,147.8,46,145,13.09,NA,NA,55,3.55,0.8,NA,1.29,0.3,0.513091,0.702867,19.17,15.603,38.785
MORB,49.87,1.07,15.31,NA,NA,11.95,8.87,0.16,0.1,2.06,0.09,4.6,11.3,NA,7.6,2.4,0.91,3.4,NA,4.1,NA,2.7,NA,2.6,NA,40,257,421,NA,104,NA,NA,NA,NA,107,27,61,NA,NA,NA,44,NA,NA,NA,NA,NA,0.513088,0.702863,18.778,15.549,39.028
MORB,49.9,1.09,15.8,0.64,8.14,11.6,8.83,0.15,0.22,2.03,0.26,6.54,14.6,1.9,9.35,2.59,0.946,3.32,0.55,3.92,0.78,2.48,0.37,2.3,0.35,33,255,700,43,177,88,69,NA,NA,NA,24,67,11.1,NA,NA,75,1.65,NA,NA,0.7,0.22,0.513093,0.70289,NA,NA,NA
MORB,49.9,2.33,13.29,NA,NA,10.45,6.28,0.26,0.14,2.37,0.25,5.7,19,NA,15.3,5,1.77,NA,1.12,NA,NA,NA,NA,5.65,0.81,47.7,445,89,66,54,NA,137,20,1.2,109,50.5,165,4.7,NA,NA,NA,4.2,1.1,NA,NA,NA,NA,NA,NA,NA,NA
MORB,49.9,1.08,17.3,NA,NA,12.78,7.08,NA,0.18,2.45,NA,2.86,8.76,NA,7.55,2.67,1,3.41,NA,4.72,NA,2.9,NA,2.76,NA,NA,NA,NA,NA,112,NA,NA,NA,2.95,115,NA,71.9,NA,NA,0.077,12.7,2,NA,0.409,0.161,0.062,NA,NA,18.408,15.488,37.903
MORB,49.95,1.29,15.45,NA,NA,11.68,8.28,0.16,0.09,2.93,0.11,2.47,NA,NA,7.95,2.91,1.22,NA,0.719,NA,NA,NA,NA,2.81,NA,NA,244,NA,NA,NA,NA,NA,NA,0.695,109.9,31.8,88,2.19,NA,NA,NA,2.14,0.124,NA,0.098,NA,0.513356,0.702218,17.542,15.392,36.97
MORB,49.97,1.45,15.61,1.3,8.68,11.14,8.78,0.18,0.16,2.83,0.13,3.51,11.3,NA,9.5,3.37,1.27,NA,0.84,NA,NA,NA,NA,3.42,0.48,40,258,362,53,185,76,82,NA,2.2,114,30,89,NA,NA,NA,11.3,NA,NA,NA,NA,NA,NA,0.70273,NA,NA,NA
MORB,50,1.31,15.2,NA,NA,12,8.5,0.15,0.11,2.65,0.13,2.98,NA,NA,7.73,2.6,1.26,NA,0.698,NA,NA,NA,NA,2.54,NA,NA,253,NA,NA,NA,NA,NA,NA,0.46,127,25.8,84,1.89,NA,NA,10.1,2.3,0.133,NA,0.129,NA,0.513168,0.702345,18.203,15.482,37.594
MORB,50.1,1.61,14.6,NA,NA,10.85,8,0.17,0.42,2.92,0.22,7.24,NA,NA,11.92,3.63,1.34,NA,0.779,NA,NA,NA,NA,2.86,NA,NA,261,NA,NA,NA,NA,NA,NA,6.007,163.4,35.3,120,11.05,NA,NA,71.1,2.77,0.684,NA,0.703,NA,0.513093,0.702603,18.287,15.488,37.771
MORB,50.17,1.69,16.23,NA,NA,9.68,7.96,0.18,0.41,3.94,0.29,10.7,27.4,3.55,15.7,4.51,1.58,5.45,0.96,6.11,NA,3.72,NA,3.55,NA,34,228,274,44,153,50,72,NA,7.3,212,37,164,16.4,NA,NA,77,NA,NA,NA,NA,NA,0.513004,0.7029,18.741,15.551,38.541
