pl_name,pl_rade,pl_radeerr1,pl_bmasse,pl_bmassprov,pl_orbsmax,st_rad,sy_dist,disc_year,discoverymethod,disc_facility
TOI-261.02,3.34822227,1.2696187,11.2,M-R relationship,,1.31383,114.495,2021,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-2587 A b,12.07207221,0.47077719,69.28659273,Mass,0.0635,1.726,373.675,2023,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-1154 b,2.34,1.06,6.08,M-R relationship,0.0631,1.43,1460.1,2016,Transit,Kepler
Kepler-60 b,1.71,0.13,4.19,Mass,0.07255,1.257,1025.1,2012,Transit,Kepler
Kepler-85 c,1.978,0.056,2.15,Mass,0.10363,0.875,765.025,2012,Transit,Kepler
HD 127195 b,14.0,,212.94503269,Msini,,4.16,84.7167,2026,Radial Velocity,La Silla Observatory
Kepler-1780 b,3.60600667,,12.7,M-R relationship,0.4276,0.868,790.516,2021,Transit,Kepler
Kepler-1818 b,1.71360684,,3.58,M-R relationship,0.055,1.129,1034.59,2021,Transit,Kepler
TOI-871 b,1.664,0.114,3.41,M-R relationship,0.1054,0.719,68.0473,2024,Transit,Transiting Exoplanet Survey Satellite (TESS)
GJ 251 c,1.8,,3.88,Msini,0.196,0.36,5.58057,2025,Radial Velocity,Multiple Observatories
Kepler-1518 c,2.9,0.82,8.75,M-R relationship,0.0905,1.345,903.51,2023,Transit,Kepler
Kepler-1718 b,2.5685207,,7.12,M-R relationship,0.48418,0.906,375.522,2021,Transit,Kepler
TOI-4914 b,12.87,0.36,227.0,Mass,0.098,1.0,299.89,2024,Transit,Transiting Exoplanet Survey Satellite (TESS)
USco1556 b,12.3,,4767.45,Mass,3500.0,0.668108,140.635,2019,Imaging,Multiple Observatories
Kepler-109 c,2.65,0.12,8.2,Mass,0.1546,1.387,474.861,2014,Transit,Kepler
Kepler-101 c,1.25,0.19,3.78,Mass,0.0684,1.56,927.981,2014,Transit,Kepler
Kepler-1200 b,1.06,0.06,1.2,M-R relationship,0.0188,0.7,588.715,2016,Transit,Kepler
NY Vir b,13.3,,730.978,Mass,3.3,0.151,544.024,2011,Eclipse Timing Variations,Multiple Observatories
TOI-4137 b,13.57407563,0.44835923,457.67290608,Mass,0.05222,1.438,334.993,2022,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-1630 b,2.19,0.2,5.43,M-R relationship,1.1218,0.63,331.213,2016,Transit,Kepler
Kepler-475 b,2.49,0.05,6.76,M-R relationship,0.03989,0.79,280.069,2016,Transit,Kepler
Kepler-1978 b,2.67,0.38,7.61,M-R relationship,0.0914,0.778,865.512,2023,Transit,Kepler
Kepler-1836 b,2.55303229,,7.05,M-R relationship,0.0602,0.987,1472.62,2021,Transit,Kepler
Kepler-887 c,1.13,0.17,1.51,M-R relationship,0.0801,1.29,886.588,2016,Transit,Kepler
Kepler-350 c,3.1,1.42,6.1,Mass,0.1385,1.25,956.859,2013,Transit,Kepler
Kepler-816 b,10.24,0.68,74.5,M-R relationship,0.0895,0.85,983.697,2016,Transit,Kepler
HD 51608 b,3.62,,12.77,Msini,0.1059,0.916136,35.0553,2019,Radial Velocity,La Silla Observatory
HD 125390 b,11.9,,8646.20398403,Mass,3.496,6.47,153.647,2019,Radial Velocity,W. M. Keck Observatory
Kepler-1947 b,1.0101666,,1.01,M-R relationship,0.07375,1.686,468.771,2021,Transit,Kepler
Kepler-81 d,1.21,0.27,1.92,M-R relationship,0.128,0.595,348.291,2014,Transit,Kepler
Kepler-1827 b,1.85644292,,4.1,M-R relationship,0.04647,1.404,686.461,2021,Transit,Kepler
TOI-1768.01,3.453,0.423,11.8,M-R relationship,0.076381,1.1,157.597,2024,Transit,Transiting Exoplanet Survey Satellite (TESS)
HIP 10090 c,13.9,,270.15414595,Mass,0.9,1.38268,82.3937,2026,Radial Velocity,Multiple Facilities
Kepler-855 b,8.35,1.7,52.7,M-R relationship,0.0762,1.03,1506.58,2016,Transit,Kepler
TOI-205 b,2.50121142,0.23968778,6.81,M-R relationship,,1.45382,177.759,2026,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-1886 b,2.58158428,,7.18,M-R relationship,0.16,0.837,1059.51,2021,Transit,Kepler
Kepler-279 c,4.3,1.72,49.4,Mass,0.2236,1.07,1037.4,2013,Transit,Kepler
K2-401 b,2.262,0.209,5.74,M-R relationship,,0.675,200.727,2022,Transit,K2
TOI-3807 b,18.49481816,,330.54154328,Mass,0.0421,1.468,421.745,2023,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-931 b,1.33,0.14,2.33,M-R relationship,0.0719,0.81,490.0,2016,Transit,Kepler
TOI-1759 b,3.14,0.1,10.8,Mass,0.1177,0.597,40.0654,2022,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-106 e,2.56,0.33,11.17,Mass,0.24006,1.04,444.322,2014,Transit,Kepler
GSC 06214-00210 b,20.1762,5.6045,5000.0,Mass,320.0,0.90484,108.5,2010,Imaging,Palomar Observatory
HD 89839 b,12.8,,1748.0562385,Mass,4.713,1.28588,57.3063,2023,Radial Velocity,Multiple Facilities
Kepler-520 b,1.66,0.28,3.39,M-R relationship,0.14628,1.09,623.901,2016,Transit,Kepler
Kepler-19 b,2.209,0.048,6.1,Mass,0.0846,0.859,218.562,2011,Transit,Kepler
Kepler-1102 b,2.66,0.53,7.56,M-R relationship,0.2731,0.94,1246.05,2016,Transit,Kepler
Kepler-371 c,1.78,0.45,3.82,M-R relationship,0.313,0.992,813.192,2014,Transit,Kepler
K2-338 b,1.03,0.11,1.08,M-R relationship,,0.63,156.951,2021,Transit,K2
TOI-286 b,1.42,0.1,4.53,Mass,0.0503,0.78,59.2293,2024,Transit,Transiting Exoplanet Survey Satellite (TESS)
KELT-16 b,15.860735,0.941556,874.0325,Mass,0.02044,1.36,444.586,2017,Transit,KELT
Kepler-1681 b,2.55321772,,7.05,M-R relationship,0.32,0.759,758.3,2020,Transit,Kepler
TOI-544 c,4.92,,21.5,Msini,,0.623,41.1166,2023,Radial Velocity,La Silla Observatory
Kepler-251 d,2.77,0.49,8.1,M-R relationship,0.182,0.89,924.625,2014,Transit,Kepler
WASP-63 b,15.80469,1.56926,117.5971,Mass,0.0574,1.86,290.684,2012,Transit,SuperWASP
WASP-52 b,14.24,0.34,146.2,Mass,0.0272,0.79,174.818,2012,Transit,SuperWASP
WASP-77 A b,13.56,0.22,529.31142902,Mass,0.023233633,0.91,105.166,2012,Transit,SuperWASP
55 Cnc b,13.9,,263.9785,Mass,0.118,0.98,12.5855,1996,Radial Velocity,Lick Observatory
55 Cnc c,8.51,,54.4738,Mass,0.247,0.98,12.5855,2004,Radial Velocity,McDonald Observatory
55 Cnc d,13.0,,1232.493,Mass,5.6,0.98,12.5855,2002,Radial Velocity,Lick Observatory
55 Cnc e,1.875,0.029,7.99,Mass,0.01544,0.943,12.5855,2004,Radial Velocity,McDonald Observatory
55 Cnc f,7.59,,44.812,Mass,0.802,0.98,12.5855,2007,Radial Velocity,Multiple Observatories
GJ 1214 b,2.733,0.033,8.41,Mass,0.01505,0.2162,14.6427,2009,Transit,MEarth Project
GJ 436 b,4.17,0.168,22.1,Mass,0.0291,0.455,9.75321,2004,Radial Velocity,W. M. Keck Observatory
HAT-P-12 b,10.749,0.325,67.059,Mass,0.0384,0.701,142.751,2009,Transit,HATNet
HAT-P-13 b,14.258,0.729,270.462,Mass,0.04383,1.756,246.81,2009,Transit,HATNet
HAT-P-13 c,12.3,,4538.421,Msini,1.258,1.756,246.81,2009,Radial Velocity,W. M. Keck Observatory
HAT-P-14 b,15.91678,1.34508,1093.3352,Mass,0.0596,1.82,222.663,2010,Transit,HATNet
HAT-P-17 b,11.76945,0.44836,184.3414,Mass,0.0892,0.87,92.3831,2012,Transit,HATNet
HAT-P-17 c,13.1,,1080.6,Msini,5.6,0.838682,92.3831,2012,Radial Velocity,W. M. Keck Observatory
HAT-P-18 b,11.153,0.583,62.61,Mass,0.0559,0.749,161.4,2010,Transit,HATNet
HAT-P-1 b,14.784671,0.212971,166.86075,Mass,0.05561,1.174,158.979,2006,Transit,HATNet
HAT-P-26 b,7.06167,0.44836,22.2481,Mass,0.04748,0.87,141.837,2010,Transit,HATNet
HAT-P-30 b,16.14096,1.68135,263.7989,Mass,0.0419,1.31,213.985,2011,Transit,HATNet
HAT-P-32 b,22.19382,0.504405,216.1244,Mass,0.03397,1.367,289.205,2011,Transit,HATNet
HD 149026 b,8.29466,0.22418,120.7754,Mass,0.04364,1.41,75.8643,2005,Radial Velocity,Subaru Telescope
HD 189733 b,12.66617,0.11209,359.1479,Mass,0.03126,0.75,19.7638,2005,Radial Velocity,Haute-Provence Observatory
HD 202206 c,13.1,,982.08977763,Mass,2.39,1.04,45.9665,2004,Radial Velocity,La Silla Observatory
HD 209458 b,15.58051,0.22418,232.0159,Mass,0.04707,1.19,48.3016,1999,Radial Velocity,W. M. Keck Observatory
HD 80606 b,11.56766808,0.16813471,1323.46926959,Mass,0.4603,1.05,66.4711,2001,Radial Velocity,Multiple Observatories
HD 86226 b,14.3,,143.0235,Mass,2.73,1.053,45.683,2009,Radial Velocity,Las Campanas Observatory
TrES-4 b,18.04649,2.01762,247.9074,Mass,0.05084,1.66,515.98,2007,Transit,TrES
WASP-12 b,22.02564708,0.9863903,467.2101,Mass,0.0234,1.69,427.246,2008,Transit,SuperWASP
WASP-15 b,15.80469,4.03524,171.6282,Mass,0.05165,1.48,282.091,2009,Transit,SuperWASP
WASP-17 b,20.96083,2.69016,247.9074,Mass,0.0515,1.49,405.908,2009,Transit,SuperWASP
WASP-18 b,13.89913607,0.88550948,3241.8497514,Mass,0.02024,1.319,123.483,2009,Transit,SuperWASP
WASP-19 b,15.86070769,0.49319515,366.77398168,Mass,0.01652,1.006,268.325,2009,Transit,SuperWASP
WASP-25 b,13.80946422,0.15692573,179.25522155,Mass,0.0473,0.884,211.416,2010,Transit,SuperWASP
WASP-39 b,14.336311,0.44836,89.31023,Mass,0.04828,0.939,213.982,2011,Transit,SuperWASP
WASP-43 b,10.424,0.785,565.714,Mass,0.0142,0.6,86.7467,2011,Transit,SuperWASP
WASP-6 b,12.5428494,0.19055267,148.42586607,Mass,0.04217,0.79,197.119,2009,Transit,SuperWASP
GJ 3470 b,4.57,0.18,13.9,Mass,0.0355,0.547,29.4214,2012,Radial Velocity,La Silla Observatory
WASP-47 b,12.86,0.1,374.0,Mass,0.052,1.156,264.78,2012,Transit,SuperWASP
WASP-80 b,11.197791,0.33627,170.99254,Mass,0.0344,0.586,49.7876,2012,Transit,SuperWASP
WASP-103 b,17.127,0.818,473.547,Mass,0.01985,1.436,375.647,2014,Transit,SuperWASP
WASP-96 b,13.45,0.67,152.55,Mass,0.0453,1.05,352.464,2014,Transit,SuperWASP
