Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1912,4,3.536,3.28,3.155,2.533,2.554,1.954,1.603,2.442,1.677,1.201,0.125,0.351,7.71,1.05,1.28,0
1912,5,3.719,3.371,3.179,2.557,2.585,1.993,1.588,2.48,1.783,1.186,0.192,0.405,7.72,1.03,1.219,0
1912,6,3.719,3.444,3.222,2.609,2.64,2.057,1.631,2.538,1.813,1.164,0.223,0.427,7.82,1.04,1.097,0
1912,7,3.84,3.481,3.234,2.621,2.643,2.051,1.625,2.553,1.856,1.183,0.247,0.427,7.75,1.1,1.189,0
1912,8,3.749,3.438,3.213,2.597,2.612,2.015,1.628,2.533,1.81,1.198,0.226,0.387,7.7,1.09,1.219,0
1912,9,3.597,3.386,3.231,2.612,2.627,2.024,1.692,2.539,1.694,1.207,0.155,0.332,7.71,1.07,1.341,0
1912,10,3.566,3.374,3.24,2.612,2.637,2.033,1.661,2.518,1.713,1.207,0.134,0.372,7.66,1.09,1.402,0
1912,11,3.719,3.435,3.231,2.594,2.624,2.015,1.561,2.498,1.874,1.216,0.204,0.454,7.69,1.11,1.25,0
1912,12,3.688,3.402,3.164,2.524,2.545,1.929,1.454,2.428,1.948,1.234,0.238,0.475,7.69,1.06,0.975,0
1913,1,3.84,3.453,3.206,2.569,2.594,1.978,1.551,2.502,1.902,1.228,0.247,0.427,7.63,1.0,1.097,0
1913,2,3.688,3.429,3.222,2.603,2.624,2.027,1.655,2.542,1.774,1.195,0.207,0.372,7.72,0.99,1.219,0
1913,3,3.475,3.286,3.13,2.512,2.53,1.932,1.582,2.434,1.704,1.198,0.155,0.351,7.67,0.98,1.341,0
1913,4,3.627,3.286,3.142,2.53,2.548,1.957,1.579,2.432,1.707,1.186,0.143,0.378,7.61,1.0,1.311,0
1913,5,3.658,3.356,3.149,2.539,2.563,1.978,1.545,2.45,1.811,1.17,0.207,0.433,7.69,0.99,1.28,0
1913,6,3.658,3.438,3.194,2.588,2.615,2.033,1.57,2.504,1.868,1.161,0.244,0.463,7.71,1.04,1.28,0
1913,7,3.627,3.459,3.222,2.615,2.637,2.054,1.585,2.522,1.874,1.167,0.238,0.469,7.58,0.99,1.189,0
1913,8,3.719,3.475,3.267,2.652,2.67,2.073,1.698,2.586,1.777,1.195,0.207,0.375,7.66,1.06,1.28,0
1913,9,3.597,3.435,3.292,2.673,2.685,2.082,1.777,2.606,1.658,1.21,0.143,0.305,7.62,1.02,1.554,0
1913,10,3.749,3.325,3.219,2.603,2.618,2.018,1.673,2.499,1.652,1.201,0.107,0.344,7.61,1.01,1.311,0
1913,11,3.749,3.423,3.261,2.63,2.655,2.051,1.64,2.532,1.783,1.21,0.162,0.411,7.66,1.06,1.128,0
1913,12,3.871,3.463,3.234,2.606,2.63,2.03,1.579,2.521,1.884,1.204,0.229,0.451,7.72,1.07,1.219,0
1914,1,3.962,3.6,3.338,2.755,2.786,2.234,1.823,2.712,1.777,1.103,0.262,0.411,7.72,0.87,1.311,0
1914,2,3.81,3.487,3.267,2.697,2.719,2.17,1.82,2.654,1.667,1.097,0.219,0.351,7.74,0.89,1.372,0
1914,3,3.688,3.392,3.255,2.67,2.688,2.124,1.798,2.595,1.594,1.131,0.137,0.326,7.75,0.91,1.463,0
1914,4,3.658,3.368,3.225,2.627,2.655,2.085,1.719,2.544,1.649,1.14,0.143,0.366,7.73,0.97,1.341,0
1914,5,3.749,3.432,3.243,2.637,2.67,2.097,1.692,2.562,1.74,1.146,0.189,0.405,7.75,0.96,1.219,0
1914,6,3.78,3.463,3.225,2.615,2.646,2.067,1.612,2.538,1.851,1.158,0.238,0.454,7.77,0.99,1.189,0
1914,7,3.749,3.511,3.264,2.652,2.676,2.091,1.634,2.572,1.877,1.173,0.247,0.457,7.83,1.06,1.25,0
1914,8,3.688,3.527,3.316,2.697,2.722,2.128,1.762,2.644,1.765,1.189,0.21,0.366,7.8,1.09,1.372,0
1914,9,3.719,3.456,3.31,2.691,2.713,2.118,1.792,2.624,1.664,1.192,0.146,0.326,7.7,1.07,1.524,0
1914,10,3.78,3.45,3.331,2.713,2.734,2.14,1.777,2.614,1.673,1.192,0.119,0.363,7.67,1.07,1.341,0
1914,11,3.84,3.469,3.304,2.679,2.707,2.109,1.667,2.568,1.802,1.195,0.165,0.442,7.71,1.1,1.189,0
1914,12,4.084,3.645,3.42,2.792,2.822,2.225,1.762,2.704,1.883,1.195,0.226,0.463,7.74,1.11,1.372,0
1915,1,4.084,3.557,3.344,2.722,2.749,2.155,1.737,2.647,1.82,1.189,0.213,0.418,7.74,1.05,1.158,0
1915,2,3.901,3.584,3.389,2.807,2.829,2.268,1.945,2.764,1.639,1.122,0.195,0.323,7.73,0.89,1.433,0
1915,3,3.597,3.371,3.234,2.655,2.667,2.103,1.811,2.591,1.56,1.131,0.137,0.293,7.68,0.82,1.494,0
1915,4,3.749,3.38,3.231,2.64,2.661,2.094,1.771,2.576,1.609,1.137,0.149,0.323,7.68,0.92,1.189,0
1915,5,3.81,3.417,3.222,2.618,2.649,2.076,1.692,2.554,1.725,1.146,0.195,0.384,7.73,0.91,1.158,0
1915,6,3.719,3.386,3.167,2.569,2.6,2.033,1.597,2.492,1.789,1.134,0.219,0.436,7.76,0.91,1.036,0
1915,7,3.81,3.49,3.237,2.63,2.649,2.063,1.631,2.56,1.859,1.173,0.253,0.433,7.78,1.0,1.311,0
1915,8,3.688,3.453,3.237,2.637,2.652,2.07,1.722,2.588,1.731,1.167,0.216,0.347,7.69,1.03,1.463,0
1915,9,3.597,3.453,3.286,2.685,2.701,2.115,1.78,2.616,1.673,1.17,0.168,0.335,7.67,1.07,1.554,0
1915,10,3.597,3.365,3.225,2.618,2.637,2.048,1.679,2.522,1.686,1.177,0.14,0.369,7.6,1.0,1.433,0
1915,11,3.871,3.42,3.222,2.594,2.615,2.012,1.579,2.5,1.841,1.21,0.198,0.433,7.61,1.02,1.25,0
1915,12,3.84,3.459,3.231,2.606,2.627,2.027,1.567,2.513,1.892,1.204,0.229,0.46,7.66,1.03,1.067,0
1916,1,4.023,3.594,3.359,2.749,2.774,2.192,1.795,2.694,1.799,1.167,0.235,0.396,7.75,0.89,1.219,0
1916,2,3.749,3.435,3.24,2.655,2.67,2.103,1.798,2.616,1.637,1.137,0.195,0.305,7.74,0.84,1.128,0
1916,3,3.658,3.347,3.197,2.612,2.63,2.063,1.78,2.564,1.567,1.134,0.149,0.283,7.74,0.89,1.433,0
1916,4,3.536,3.28,3.136,2.551,2.566,1.999,1.67,2.475,1.61,1.137,0.143,0.329,7.68,0.92,1.28,0
1916,5,3.658,3.316,3.109,2.518,2.536,1.966,1.57,2.443,1.746,1.143,0.207,0.396,7.65,0.95,1.097,0
1916,6,3.749,3.368,3.133,2.536,2.563,1.996,1.573,2.47,1.795,1.137,0.235,0.424,7.7,0.97,1.158,0
1916,7,3.78,3.456,3.213,2.609,2.627,2.042,1.615,2.536,1.841,1.17,0.244,0.427,7.79,1.06,1.189,0
1916,8,3.658,3.411,3.206,2.603,2.615,2.027,1.682,2.546,1.729,1.18,0.204,0.344,7.74,1.11,1.219,0
1916,9,3.566,3.359,3.216,2.612,2.621,2.03,1.731,2.545,1.628,1.186,0.143,0.299,7.71,1.12,1.402,0
1916,10,3.566,3.344,3.222,2.609,2.627,2.036,1.686,2.515,1.658,1.186,0.122,0.351,7.73,1.2,1.311,0
1916,11,3.688,3.353,3.164,2.539,2.557,1.954,1.524,2.438,1.829,1.21,0.189,0.43,7.64,1.07,1.158,0
1916,12,4.023,3.447,3.21,2.582,2.603,1.996,1.554,2.5,1.893,1.213,0.238,0.442,7.66,1.09,1.128,0
