lon,lat,segment,kind
-57.2665,-62.1298,15,ridge
-57.3315,-62.1551,15,ridge
-57.4031,-62.1835,15,ridge
-57.4794,-62.212,15,ridge
-57.569,-62.247,15,ridge
-57.6678,-62.281,15,ridge
-57.7014,-62.2941,15,ridge
-57.7551,-62.3169,15,ridge
-57.8399,-62.3104,15,ridge
-57.902,-62.3015,15,ridge
-57.9135,-62.2984,15,ridge
-58.0145,-62.3355,15,ridge
-58.1309,-62.3813,15,ridge
-58.2539,-62.4354,15,ridge
-58.3615,-62.4756,15,ridge
-58.5291,-62.55,15,ridge
-58.6256,-62.5836,15,ridge
-58.7421,-62.629,15,ridge
-58.8451,-62.6689,15,ridge
-58.9415,-62.7055,15,ridge
-59.0175,-62.7377,15,ridge
-59.0553,-62.7589,15,ridge
-59.1088,-62.7856,15,ridge
-59.1914,-62.776,15,ridge
-59.313,-62.7658,15,ridge
-59.3866,-62.754,15,ridge
-59.4878,-62.7383,15,ridge
-59.5681,-62.7298,15,ridge
-59.6281,-62.7178,15,ridge
-59.7471,-62.7588,15,ridge
-59.843,-62.8036,15,ridge
-59.9665,-62.8466,15,ridge
-60.0226,-62.8659,15,ridge
-60.1478,-62.9192,15,ridge
-60.2824,-62.9663,15,ridge
-60.4169,-63.0164,15,ridge
-60.5016,-63.0577,15,ridge
-60.5977,-63.099,15,ridge
-60.6535,-63.1253,15,ridge
-60.7092,-63.1527,15,ridge
-60.7473,-63.1675,15,ridge
-60.9039,-63.1392,15,ridge
-60.9594,-63.1254,15,ridge
-61.017,-63.1146,15,ridge
-61.1175,-63.159,15,ridge
-61.2288,-63.2167,15,ridge
-61.3628,-63.2767,15,ridge
-61.4388,-63.3092,15,ridge
-61.4699,-63.3249,15,ridge
-61.5147,-63.3418,15,ridge
-61.4796,-63.3599,15,ridge
-61.4144,-63.3848,15,ridge
-61.4695,-63.4231,15,ridge
-61.6217,-63.4849,15,ridge
-61.6975,-63.5203,15,ridge
-61.7509,-63.5483,15,ridge
-61.8157,-63.5764,15,ridge
-61.8379,-63.5878,15,ridge
-61.8783,-63.6024,15,ridge
-61.943,-63.6304,15,ridge
-61.997,-63.6462,15,ridge
,,15,ridge
-109.0576,-34.117,16,ridge
-110.5718,-34.6042,16,ridge
,,16,ridge
-179.3604,-15.5227,17,ridge
-179.3129,-15.3826,17,ridge
-179.2837,-15.2895,17,ridge
-179.2136,-15.1515,17,ridge
,,17,ridge
-179.2136,-15.1515,18,ridge
-179.0226,-15.133,18,ridge
,,18,ridge
-178.7654,-15.0972,19,ridge
-178.4609,-15.0477,19,ridge
,,19,ridge
-178.2637,-15.0159,20,ridge
-177.9245,-14.9238,20,ridge
,,20,ridge
-177.6289,-14.8466,21,ridge
-177.3347,-14.7621,21,ridge
,,21,ridge
-177.0854,-14.6827,22,ridge
-176.8776,-14.5722,22,ridge
,,22,ridge
-176.6785,-14.4701,23,ridge
-176.4744,-14.3717,23,ridge
,,23,ridge
-176.2514,-14.2851,24,ridge
-175.9747,-14.2017,24,ridge
,,24,ridge
-179.3604,-15.5227,25,ridge
-179.204,-15.5431,25,ridge
-179.0451,-15.5671,25,ridge
-178.966,-15.5978,25,ridge
-178.7552,-15.6936,25,ridge
-178.548,-15.8098,25,ridge
-178.3658,-15.9226,25,ridge
-178.1751,-16.0112,25,ridge
-178.0394,-16.0869,25,ridge
-177.9114,-16.1556,25,ridge
-177.8646,-16.2176,25,ridge
-177.7296,-16.0749,25,ridge
-177.5774,-16.1877,25,ridge
-177.2771,-16.3725,25,ridge
-177.0732,-16.5351,25,ridge
-176.8794,-16.6904,25,ridge
-176.688,-16.854,25,ridge
-176.4968,-16.9912,25,ridge
-176.3472,-17.0964,25,ridge
-176.2389,-17.1803,25,ridge
-176.0668,-17.2792,25,ridge
-176.1496,-17.3897,25,ridge
-176.2548,-17.5133,25,ridge
-176.1556,-17.5649,25,ridge
-176.0537,-17.6344,25,ridge
-175.9231,-17.7096,25,ridge
-175.8451,-17.7733,25,ridge
,,25,ridge
-176.1037,-18.0643,26,ridge
-175.8243,-18.2889,26,ridge
-175.9903,-18.4575,26,ridge
-176.1582,-18.6922,26,ridge
,,26,ridge
-177.5774,-16.1877,27,ridge
-177.3578,-15.995,27,ridge
-177.2524,-15.904,27,ridge
-177.0651,-15.7366,27,ridge
-176.9652,-15.8657,27,ridge
-176.8324,-15.7684,27,ridge
-176.7093,-15.6941,27,ridge
-176.5788,-15.61,27,ridge
-176.4458,-15.515,27,ridge
-176.3651,-15.4541,27,ridge
-176.2144,-15.3927,27,ridge
-176.1021,-15.5207,27,ridge
-175.8112,-15.7759,27,ridge
-175.5598,-15.935,27,ridge
-175.4729,-16.0184,27,ridge
-175.4023,-15.9361,27,ridge
