pl_name,st_teff,st_rad,pl_orbsmax,pl_rade,pl_eqt,discoverymethod
Kepler-403 d,6209.0,1.45,,1.42,,Transit
K2-57 b,4413.0,0.671,0.0752,2.30905002,635.8,Transit
K2-28 b,3214.0,0.288,0.0214,2.32,568.0,Transit
Kepler-292 f,5299.0,0.826,0.141,2.35,,Transit
Kepler-220 d,4632.0,0.666,0.163,0.98,,Transit
Kepler-366 c,6209.0,1.048,0.11,1.79,,Transit
HD 67087 c,6330.0,1.55,3.86,,,Radial Velocity
HD 191939 f,5348.0,0.94,3.71,,,Radial Velocity
KMT-2019-BLG-1216L b,,,2.44,,,Microlensing
TOI-4465 b,5545.0,1.014,0.416,14.01122587,427.0,Transit
bet UMi b,4126.0,38.3,1.4,,,Radial Velocity
Kepler-309 b,4713.0,0.721,0.059,1.56,,Transit
Kepler-686 b,5649.0,0.92,,12.15,,Transit
TOI-2285 b,3491.0,0.464,,1.77,358.0,Transit
TOI-907.01,6272.0,2.059789,0.055225481,9.6158851,1846.6,Transit
TOI-3353.01,6365.0,1.0207,0.060118218,2.6667555,1264.36,Transit
NGTS-26 b,5550.0,1.16,0.049,14.88552637,1331.0,Transit
TIC 46432937 b,3572.0,0.5299,0.02065,13.31626907,872.0,Transit
HIP 67522 b,5675.0,1.38,0.0748,9.9872018,1175.0,Transit
HIP 67522 c,5675.0,1.38,0.1228,7.93595834,917.0,Transit
HD 39091 b,5998.0,1.17,3.28,,,Radial Velocity
TOI-2322 b,4664.0,0.662,0.0924,0.994,603.1,Transit
TOI-2322 c,4664.0,0.662,0.1362,1.874,496.8,Transit
Kepler-103 b,6047.0,1.492,0.133,3.4857,,Transit
Kepler-103 c,6047.0,1.492,0.6679,5.4539,,Transit
pi Men c,5998.0,1.17,,2.0189,,Transit
TOI-912 b,3572.0,0.419,0.041,1.93,551.0,Transit
