segment,lon,lat
40,153.02,-3.98
40,153.14,-4.5
40,152.827,-4.766
40,152.639,-4.176
40,152.406,-3.79
40,151.953,-3.462
40,151.384,-3.035
40,150.662,-2.741
40,150.94,-2.5
40,151.48,-2.78
40,151.82,-3.0
40,152.24,-3.24
40,152.64,-3.66
,,
41,151.301,-5.841
41,150.754,-6.084
41,150.241,-6.318
41,149.71,-6.317
41,148.89,-6.026
41,148.319,-5.747
41,148.402,-5.438
41,149.298,-5.584
41,149.846,-5.506
41,149.996,-5.026
41,150.14,-5.001
41,150.237,-5.532
41,150.807,-5.456
41,151.09,-5.114
41,151.648,-4.757
41,151.538,-4.168
41,152.137,-4.149
41,152.339,-4.313
41,152.319,-4.868
41,151.983,-5.478
41,151.459,-5.56
41,151.301,-5.841
,,
42,162.119,-10.483
42,162.399,-10.826
42,161.7,-10.82
42,161.32,-10.205
42,161.917,-10.447
42,162.119,-10.483
,,
43,161.68,-9.6
43,161.529,-9.784
43,160.788,-8.918
43,160.58,-8.32
43,160.92,-8.32
43,161.28,-9.12
43,161.68,-9.6
,,
44,160.852,-9.873
44,160.463,-9.895
44,159.849,-9.794
44,159.64,-9.64
44,159.703,-9.243
44,160.363,-9.4
44,160.689,-9.61
44,160.852,-9.873
,,
45,159.64,-8.02
45,159.875,-8.337
45,159.917,-8.538
45,159.134,-8.114
45,158.586,-7.755
45,158.211,-7.422
45,158.36,-7.32
45,158.82,-7.56
45,159.64,-8.02
,,
46,157.14,-7.022
46,157.538,-7.348
46,157.339,-7.405
46,156.902,-7.177
46,156.491,-6.766
46,156.543,-6.599
46,157.14,-7.022
,,
47,154.76,-5.34
47,155.063,-5.567
47,155.548,-6.201
47,156.02,-6.54
47,155.88,-6.82
47,155.6,-6.92
47,155.167,-6.536
47,154.729,-5.901
47,154.514,-5.139
47,154.653,-5.042
47,154.76,-5.34
,,
48,176.886,-40.066
48,176.508,-40.605
48,176.012,-41.29
48,175.24,-41.688
48,175.068,-41.426
48,174.651,-41.282
48,175.228,-40.459
48,174.9,-39.909
48,173.824,-39.509
48,173.852,-39.147
48,174.575,-38.798
48,174.743,-38.028
48,174.697,-37.381
48,174.292,-36.711
48,174.319,-36.535
48,173.841,-36.122
48,173.054,-35.237
48,172.636,-34.529
48,173.007,-34.451
48,173.551,-35.006
48,174.329,-35.265
48,174.612,-36.156
48,175.337,-37.209
48,175.358,-36.526
48,175.809,-36.799
48,175.958,-37.555
48,176.763,-37.881
48,177.439,-37.961
48,178.01,-37.58
48,178.517,-37.695
48,178.275,-38.583
48,177.97,-39.166
48,177.207,-39.146
48,176.94,-39.45
48,177.033,-39.88
48,176.886,-40.066
,,
49,169.668,-43.555
49,170.525,-43.032
49,171.125,-42.513
49,171.57,-41.767
49,171.949,-41.514
49,172.097,-40.956
