time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-04-03T19:15:00.380Z,34.6295,-117.1188333,-1.24,1.71,ml,29,49,0.1869,0.21,ci,ci37355824,2016-03-11T11:45:26.009Z,"16km NNE of Apple Valley, CA",quarry blast,0.31,31.61,0.115,20,reviewed,ci,ci
2015-04-03T20:00:49.520Z,33.8581667,-117.5051667,-0.552,1.71,ml,39,56,0.0497,0.18,ci,ci37355848,2016-03-11T06:25:01.155Z,"3km SSE of Home Gardens, CA",quarry blast,0.3,31.61,0.172,87,reviewed,ci,ci
2015-04-06T23:26:22.320Z,35.0331667,-117.6725,-0.827,2.02,ml,18,60,0.1005,0.15,ci,ci37357872,2016-03-12T02:48:00.817Z,"4km NNW of Boron, CA",quarry blast,0.49,31.61,0.172,24,reviewed,ci,ci
2015-04-07T18:11:35.070Z,33.0528333,-114.9841667,-0.157,1.61,ml,7,147,0.08055,0.34,ci,ci37358472,2016-03-12T00:57:04.482Z,"46km NNW of Los Algodones, B.C., MX",quarry blast,1.33,31.61,0.223,3,reviewed,ci,ci
2015-04-07T23:17:42.630Z,34.3406667,-116.8818333,-1.716,1.54,ml,27,105,0.08455,0.18,ci,ci37358696,2016-03-12T04:41:03.950Z,"10km NNW of Big Bear City, CA",quarry blast,0.58,31.61,0.116,30,reviewed,ci,ci
2015-04-08T23:29:04.260Z,35.0416667,-117.6753333,-0.827,1.69,ml,29,78,0.1084,0.22,ci,ci37359512,2016-03-12T06:32:15.039Z,"5km NNW of Boron, CA",quarry blast,0.5,31.61,0.151,19,reviewed,ci,ci
2015-04-09T20:00:07.170Z,38.2675,-122.2413333,-0.266,1.52,md,13,96,0.02432,0.07,nc,nc72429086,2017-02-07T14:03:08.288Z,"5 km SE of Napa, California",quarry blast,0.34,31.61,0.342,14,reviewed,nc,nc
2015-04-09T21:11:09.770Z,33.0448333,-114.9623333,-0.196,1.6,ml,4,143,0.07361,0.07,ci,ci37360176,2016-03-12T00:57:13.898Z,"44km NNW of Los Algodones, B.C., MX",quarry blast,0.75,31.61,0.309,1,reviewed,ci,ci
2015-04-10T16:40:03.410Z,33.8463333,-117.4968333,-0.564,1.63,ml,44,58,0.05189,0.23,ci,ci37360944,2016-03-12T04:41:21.225Z,"4km SSE of Home Gardens, CA",quarry blast,0.4,31.61,0.174,36,reviewed,ci,ci
2015-04-10T17:00:45.810Z,40.7483333,-122.3118333,-0.695,1.89,md,38,55,0.1847,0.06,nc,nc72429576,2017-02-07T14:10:51.894Z,"3 km NNE of Mountain Gate, California",quarry blast,0.15,31.61,0.201,35,reviewed,nc,nc
